serial,name,value,notes
16-50635,CC_C1,1.010309e+03,
16-50635,CC_C2,-2.462560e-04,
16-50635,CC_C3,-9.255480e-05,
16-50635,CC_D1,3.162400e-02,
16-50635,CC_D2,0.000000e+00,
16-50635,CC_T1,2.776699e+01,
16-50635,CC_T2,-8.618810e-05,
16-50635,CC_T3,1.025970e-06,
16-50635,CC_T4,1.680000e-09,
16-50635,CC_T5,0.000000e+00,
16-50635,CC_a0,1.24587496e-03,
16-50635,CC_a1,2.68352676e-04,
16-50635,CC_a2,1.75658460e-07,
16-50635,CC_a3,1.28012060e-07,
16-50635,CC_cpcor,-9.57000000e-08,
16-50635,CC_ctcor,3.2500e-06,
16-50635,CC_g,-1.00609335e+00,
16-50635,CC_h,1.41892032e-01,
16-50635,CC_i,-1.20059715e-04,
16-50635,CC_j,2.91963650e-05,
