serial,name,value,notes
16-50114,CC_C1,9.998134e+002,
16-50114,CC_C2,-1.335470e-003,
16-50114,CC_C3,-1.269150e-004,
16-50114,CC_D1,3.201700e-002,
16-50114,CC_D2,0.000000e+000,
16-50114,CC_T1,2.775439e+001,
16-50114,CC_T2,-1.116760e-004,
16-50114,CC_T3,1.041050e-006,
16-50114,CC_T4,1.920260e-009,
16-50114,CC_T5,0.000000e+000,
16-50114,CC_a0,1.29436296e-003,
16-50114,CC_a1,2.65543379e-004,
16-50114,CC_a2,-3.23839910e-007,
16-50114,CC_a3,1.46962488e-007,
16-50114,CC_cpcor,-9.57000000e-008,
16-50114,CC_ctcor,3.2500e-006,
16-50114,CC_g,-9.82391153e-001,
16-50114,CC_h,1.50734050e-001,
16-50114,CC_i,-4.92639272e-005,
16-50114,CC_j,2.48774670e-005,
