serial,name,value,notes
16-7249,CC_C1,-4.643779e+03,
16-7249,CC_C2,-7.540100e-02,
16-7249,CC_C3,8.852730e-04,
16-7249,CC_D1,6.781200e-02,
16-7249,CC_D2,0.000000e+00,
16-7249,CC_T1,3.005444e+01,
16-7249,CC_T2,-3.892070e-04,
16-7249,CC_T3,2.670250e-06,
16-7249,CC_T4,1.718780e-09,
16-7249,CC_T5,0.000000e+00,
16-7249,CC_a0,1.24809698e-03,
16-7249,CC_a1,2.74452602e-04,
16-7249,CC_a2,-1.05673262e-06,
16-7249,CC_a3,1.79484160e-07,
16-7249,CC_cpcor,-9.57000000e-08,
16-7249,CC_ctcor,3.2500e-06,
16-7249,CC_g,-1.00091236e+00,
16-7249,CC_h,1.49213463e-01,
16-7249,CC_i,-2.12970452e-04,
16-7249,CC_j,3.61648215e-05,
