serial,name,value,notes
16-7205,CC_a0,1.26849589e-003,
16-7205,CC_a1,2.71663058e-004,
16-7205,CC_a2,-8.70212596e-007,
16-7205,CC_a3,1.68546057e-007,
16-7205,CC_cpcor,-9.57000000e-008,
16-7205,CC_ctcor,3.2500e-006,
16-7205,CC_g,-9.86723428e-001,
16-7205,CC_h,1.38915264e-001,
16-7205,CC_i,-4.30854992e-004,
16-7205,CC_j,5.08953048e-005,
16-7205,CC_pa0,6.60539825e-002,
16-7205,CC_pa1,1.55226231e-003,
16-7205,CC_pa2,8.39902458e-012,
16-7205,CC_ptca0,5.25613577e+005,
16-7205,CC_ptca1,3.24102273e+000,
16-7205,CC_ptca2,-5.98767713e-002,
16-7205,CC_ptcb0,2.50435000e+001,
16-7205,CC_ptcb1,-1.00000000e-004,
16-7205,CC_ptcb2,0.00000000e+000,
16-7205,CC_ptempa0,-5.49840333e+001,
16-7205,CC_ptempa1,5.58001121e+001,
16-7205,CC_ptempa2,-5.96881717e-001,
16-7205,CC_offset,0,
