serial,name,value,notes
16-50113,CC_a0,1.25981652e-003,
16-50113,CC_a1,2.76799774e-004,
16-50113,CC_a2,-1.67916386e-006,
16-50113,CC_a3,2.03652565e-007,
16-50113,CC_cpcor,-9.57000000e-008,
16-50113,CC_ctcor,3.2500e-006,
16-50113,CC_g,-9.70814050e-001,
16-50113,CC_h,1.51487884e-001,
16-50113,CC_i,-2.62250181e-004,
16-50113,CC_j,4.30199089e-005,
16-50113,CC_pa0,1.74981746e-001,
16-50113,CC_pa1,1.55042780e-003,
16-50113,CC_pa2,7.35055262e-012,
16-50113,CC_ptca0,5.23976273e+005,
16-50113,CC_ptca1,9.13979918e+000,
16-50113,CC_ptca2,-1.83158093e-001,
16-50113,CC_ptcb0,2.49222500e+001,
16-50113,CC_ptcb1,-3.50000000e-004,
16-50113,CC_ptcb2,0.00000000e+000,
16-50113,CC_ptempa0,-8.12886538e+001,
16-50113,CC_ptempa1,4.53052194e+001,
16-50113,CC_ptempa2,1.58507656e-001,
16-50113,CC_offset,0,
