serial,name,value,notes
16-50119,CC_a0,1.28138912e-003,
16-50119,CC_a1,2.69823885e-004,
16-50119,CC_a2,-8.72119821e-007,
16-50119,CC_a3,1.69000259e-007,
16-50119,CC_cpcor,-9.57000000e-008,
16-50119,CC_ctcor,3.2500e-006,
16-50119,CC_g,-9.78811492e-001,
16-50119,CC_h,1.40475717e-001,
16-50119,CC_i,-2.72899849e-004,
16-50119,CC_j,4.19228513e-005,
16-50119,CC_pa0,1.58403058e+000,
16-50119,CC_pa1,1.56385906e-002,
16-50119,CC_pa2,-6.24588407e-010,
16-50119,CC_ptca0,5.24673908e+005,
16-50119,CC_ptca1,7.79382777e+000,
16-50119,CC_ptca2,-1.13274296e-001,
16-50119,CC_ptcb0,2.51698750e+001,
16-50119,CC_ptcb1,1.17500000e-003,
16-50119,CC_ptcb2,0.00000000e+000,
16-50119,CC_ptempa0,-6.91787671e+001,
16-50119,CC_ptempa1,4.91615873e+001,
16-50119,CC_ptempa2,-9.57814559e-003,
16-50119,CC_offset,0,
