serial,name,value,notes
16-50602,CC_a0,1.29840972e-003,
16-50602,CC_a1,2.63621321e-004,
16-50602,CC_a2,-2.23127418e-007,
16-50602,CC_a3,1.42085550e-007,
16-50602,CC_cpcor,-9.57000000e-008,
16-50602,CC_ctcor,3.2500e-006,
16-50602,CC_g,-9.95525007e-001,
16-50602,CC_h,1.19454703e-001,
16-50602,CC_i,-6.28003513e-005,
16-50602,CC_j,1.97043040e-005,
16-50602,CC_pa0,-3.94689148e-001,
16-50602,CC_pa1,8.80910368e-003,
16-50602,CC_pa2,7.94978649e-011,
16-50602,CC_ptca0,5.24494811e+005,
16-50602,CC_ptca1,-1.13468788e+001,
16-50602,CC_ptca2,3.95394089e-001,
16-50602,CC_ptcb0,1.03779437e+002,
16-50602,CC_ptcb1,-8.95275534e-003,
16-50602,CC_ptcb2,0.00000000e+000,
16-50602,CC_ptempa0,-8.92231500e+001,
16-50602,CC_ptempa1,3.87358816e+001,
16-50602,CC_ptempa2,2.27798284e+000,
16-50602,CC_offset,0,
