CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
TN313,,,,CE04OSBP-LJ01C-05-ADCPSI103,1,1,2014-08-15T00:12:00,2015-08-02T00:00:00,CE04OSBP-LJ01C-0000,ATAPL-65310-00005,ATOSU-69825-00002,44.369556,-124.953745,,581,581,,,
TN313,,,,CE04OSBP-LJ01C-06-CTDBPO108,1,1,2014-08-15T00:12:00,2015-08-02T00:00:00,CE04OSBP-LJ01C-0000,ATAPL-65310-00005,ATOSU-69828-00001,44.369556,-124.953745,,581,581,,,
TN313,,,,CE04OSBP-LJ01C-06-DOSTAD108,1,1,2014-08-15T00:12:00,2015-08-02T00:00:00,CE04OSBP-LJ01C-0000,ATAPL-65310-00005,ATOSU-58320-00021,44.369556,-124.953745,,581,581,,,
TN313,,,,CE04OSBP-LJ01C-07-VEL3DC107,1,1,2014-08-15T00:12:00,2015-08-02T00:00:00,CE04OSBP-LJ01C-0000,ATAPL-65310-00005,ATOSU-69829-00004,44.369556,-124.953745,,581,581,,,
TN313,,,,CE04OSBP-LJ01C-08-OPTAAC104,1,1,2014-08-15T00:12:00,2015-08-02T00:00:00,CE04OSBP-LJ01C-0000,ATAPL-65310-00005,ATOSU-69943-00011,44.369556,-124.953745,,581,581,,,
TN313,,,,CE04OSBP-LJ01C-09-PCO2WB104,1,1,2014-08-15T00:12:00,2015-08-02T00:00:00,CE04OSBP-LJ01C-0000,ATAPL-65310-00005,ATOSU-70570-00002,44.369556,-124.953745,,581,581,,,
TN313,,,,CE04OSBP-LJ01C-10-PHSEND107,1,1,2014-08-15T00:12:00,2015-08-02T00:00:00,CE04OSBP-LJ01C-0000,ATAPL-65310-00005,ATOSU-70571-00002,44.369556,-124.953745,,581,581,,,
TN313,,,,CE04OSBP-LJ01C-11-HYDBBA105,1,1,2014-08-15T00:12:00,2015-08-02T00:00:00,CE04OSBP-LJ01C-0000,ATAPL-65310-00005,ATOSU-58324-00015,44.369628,-124.953816,,581,581,,,
TN313,,,,CE04OSBP-LV01C-06-CAMDSB106,1,1,2014-08-16T07:59:00,2015-07-15T05:43:10,CE04OSBP-LV01C-0000,ATAPL-65291-00045,ATOSU-58317-00008,44.369296,-124.954078,,581,581,,,
TN326,,,,CE04OSBP-LJ01C-05-ADCPSI103,2,1,2015-08-03T22:00:00,2016-07-21T00:00:00,CE04OSBP-LJ01C-0000,ATAPL-65310-00008,ATOSU-69825-00001,44.369584,-124.953712,,581,581,,,
