CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
TN313,,,,CE04OSPD-DP01B-00-ENG000000,1,1,2014-08-16T23:30:00,2015-07-23T00:00:00,ATAPL-69544-00001,ATAPL-71403-00004,ATAPL-71444-00004,44.368305,-124.952756,,N/A,582,,,
TN313,,,,CE04OSPD-DP01B-01-CTDPFL105,1,1,2014-08-16T23:30:00,2015-07-23T00:00:00,ATAPL-69544-00001,ATAPL-71403-00004,ATOSU-67977-00007,44.368305,-124.952756,,N/A,582,,,
TN313,,,,CE04OSPD-DP01B-02-VEL3DA105,1,1,2014-08-16T23:30:00,2015-07-23T00:00:00,ATAPL-69544-00001,ATAPL-71403-00004,ATOSU-58346-00008,44.368305,-124.952756,,N/A,582,,,
TN313,,,,CE04OSPD-DP01B-03-FLCDRA103,1,1,2014-08-16T23:30:00,2015-07-23T00:00:00,ATAPL-69544-00001,ATAPL-71403-00004,ATOSU-70111-00007,44.368305,-124.952756,,N/A,582,,,
TN313,,,,CE04OSPD-DP01B-04-FLNTUA103,1,1,2014-08-16T23:30:00,2015-07-23T00:00:00,ATAPL-69544-00001,ATAPL-71403-00004,ATOSU-70110-00007,44.368305,-124.952756,,N/A,582,,,
TN313,,,,CE04OSPD-DP01B-06-DOSTAD105,1,1,2014-08-16T23:30:00,2015-07-23T00:00:00,ATAPL-69544-00001,ATAPL-71403-00004,ATOSU-58320-00008,44.368305,-124.952756,,N/A,582,,,
TN326,,,,CE04OSPD-DP01B-00-ENG000000,2,1,2015-07-24T19:50:00,2016-08-07T00:00:00,ATAPL-69544-00001,ATAPL-71403-00006,ATAPL-71444-00006,44.368527,-124.952667,,N/A,582,,,
TN326,,,,CE04OSPD-DP01B-01-CTDPFL105,2,1,2015-07-24T19:50:00,2016-08-07T00:00:00,ATAPL-69544-00001,ATAPL-71403-00006,ATOSU-67977-00006,44.368527,-124.952667,,N/A,582,,,
TN326,,,,CE04OSPD-DP01B-02-VEL3DA105,2,1,2015-07-24T19:50:00,2016-08-07T00:00:00,ATAPL-69544-00001,ATAPL-71403-00006,ATOSU-58346-00007,44.368527,-124.952667,,N/A,582,,,
TN326,,,,CE04OSPD-DP01B-03-FLCDRA103,2,1,2015-07-24T19:50:00,2016-08-07T00:00:00,ATAPL-69544-00001,ATAPL-71403-00006,ATOSU-70111-00006,44.368527,-124.952667,,N/A,582,,,
TN326,,,,CE04OSPD-DP01B-04-FLNTUA103,2,1,2015-07-24T19:50:00,2016-08-07T00:00:00,ATAPL-69544-00001,ATAPL-71403-00006,ATOSU-70110-00006,44.368527,-124.952667,,N/A,582,,,
TN326,,,,CE04OSPD-DP01B-06-DOSTAD105,2,1,2015-07-24T19:50:00,2016-08-07T00:00:00,ATAPL-69544-00001,ATAPL-71403-00006,ATOSU-58320-00018,44.368527,-124.952667,,N/A,582,,,
SKQ201610S,,,,CE04OSPD-DP01B-00-ENG000000,3,1,2016-08-07T03:50:00,2017-08-06T00:56:48,ATAPL-69544-00001,ATAPL-71403-00004,ATAPL-71444-00004,44.368433,-124.953043,,N/A,583,,,
SKQ201610S,,,,CE04OSPD-DP01B-01-CTDPFL105,3,1,2016-08-07T03:50:00,2017-08-06T00:56:48,ATAPL-69544-00001,ATAPL-71403-00004,ATOSU-67977-00007,44.368433,-124.953043,,N/A,583,,,
SKQ201610S,,,,CE04OSPD-DP01B-02-VEL3DA105,3,1,2016-08-07T03:50:00,2017-08-06T00:56:48,ATAPL-69544-00001,ATAPL-71403-00004,ATOSU-58346-00008,44.368433,-124.953043,,N/A,583,,,
SKQ201610S,,,,CE04OSPD-DP01B-03-FLCDRA103,3,1,2016-08-07T03:50:00,2017-08-06T00:56:48,ATAPL-69544-00001,ATAPL-71403-00004,ATOSU-70111-00007,44.368433,-124.953043,,N/A,583,,,
SKQ201610S,,,,CE04OSPD-DP01B-04-FLNTUA103,3,1,2016-08-07T03:50:00,2017-08-06T00:56:48,ATAPL-69544-00001,ATAPL-71403-00004,ATOSU-70110-00007,44.368433,-124.953043,,N/A,583,,,
SKQ201610S,,,,CE04OSPD-DP01B-06-DOSTAD105,3,1,2016-08-07T03:50:00,2017-08-06T00:56:48,ATAPL-69544-00001,ATAPL-71403-00004,ATOSU-58320-00008,44.368433,-124.953043,,N/A,583,,,
RR1713,,,,CE04OSPD-DP01B-00-ENG000000,4,1,2017-08-06T00:56:48,2017-08-24T10:10:31,ATAPL-69544-00001,ATAPL-71403-00007,ATAPL-71444-00007,44.368262,-124.952751,,N/A,583,,,
RR1713,,,,CE04OSPD-DP01B-01-CTDPFL105,4,1,2017-08-06T00:56:48,2017-08-24T10:10:31,ATAPL-69544-00001,ATAPL-71403-00007,ATAPL-67977-00001,44.368262,-124.952751,,N/A,583,,,
RR1713,,,,CE04OSPD-DP01B-02-VEL3DA105,4,1,2017-08-06T00:56:48,2017-08-24T10:10:31,ATAPL-69544-00001,ATAPL-71403-00007,ATOSU-58346-00007,44.368262,-124.952751,,N/A,583,,,
RR1713,,,,CE04OSPD-DP01B-03-FLCDRA103,4,1,2017-08-06T00:56:48,2017-08-24T10:10:31,ATAPL-69544-00001,ATAPL-71403-00007,ATAPL-70111-00004,44.368262,-124.952751,,N/A,583,,,
RR1713,,,,CE04OSPD-DP01B-04-FLNTUA103,4,1,2017-08-06T00:56:48,2017-08-24T10:10:31,ATAPL-69544-00001,ATAPL-71403-00007,ATAPL-70110-00004,44.368262,-124.952751,,N/A,583,,,
RR1713,,,,CE04OSPD-DP01B-06-DOSTAD105,4,1,2017-08-06T00:56:48,2017-08-24T10:10:31,ATAPL-69544-00001,ATAPL-71403-00007,ATAPL-58320-00009,44.368262,-124.952751,,N/A,583,,,
RR1715,,,,CE04OSPD-DP01B-00-ENG000000,5,1,2017-08-25T23:26:21,2018-07-23T00:00:00,ATAPL-69544-00001,ATAPL-71403-00006,ATAPL-71444-00006,44.368262,-124.952751,,N/A,583,,,
RR1715,,,,CE04OSPD-DP01B-01-CTDPFL105,5,1,2017-08-25T23:26:21,2018-07-23T00:00:00,ATAPL-69544-00001,ATAPL-71403-00006,ATOSU-67977-00006,44.368262,-124.952751,,N/A,583,,,
RR1715,,,,CE04OSPD-DP01B-02-VEL3DA105,5,1,2017-08-25T23:26:21,2018-07-23T00:00:00,ATAPL-69544-00001,ATAPL-71403-00006,ATAPL-58346-00006,44.368262,-124.952751,,N/A,583,,,
RR1715,,,,CE04OSPD-DP01B-03-FLCDRA103,5,1,2017-08-25T23:26:21,2018-07-23T00:00:00,ATAPL-69544-00001,ATAPL-71403-00006,ATOSU-70111-00006,44.368262,-124.952751,,N/A,583,,,
RR1715,,,,CE04OSPD-DP01B-04-FLNTUA103,5,1,2017-08-25T23:26:21,2018-07-23T00:00:00,ATAPL-69544-00001,ATAPL-71403-00006,ATAPL-70110-00005,44.368262,-124.952751,,N/A,583,,,
RR1715,,,,CE04OSPD-DP01B-06-DOSTAD105,5,1,2017-08-25T23:26:21,2018-07-23T00:00:00,ATAPL-69544-00001,ATAPL-71403-00006,ATAPL-58320-00015,44.368262,-124.952751,,N/A,583,,,
RR1812,,,,CE04OSPD-DP01B-00-ENG000000,6,1,2018-07-23T00:00:00,2019-07-01T23:48:00,ATAPL-69544-00001,ATAPL-71403-00004,ATAPL-71444-00004,44.368196,-124.952819,,N/A,583,,,
RR1812,,,,CE04OSPD-DP01B-01-CTDPFL105,6,1,2018-07-23T00:00:00,2019-07-01T23:48:00,ATAPL-69544-00001,ATAPL-71403-00004,ATAPL-67977-00001,44.368196,-124.952808,,N/A,583,,,
RR1812,,,,CE04OSPD-DP01B-02-VEL3DA105,6,1,2018-07-23T00:00:00,2019-07-01T23:48:00,ATAPL-69544-00001,ATAPL-71403-00004,ATOSU-58346-00007,44.368196,-124.952808,,N/A,583,,,
RR1812,,,,CE04OSPD-DP01B-03-FLCDRA103,6,1,2018-07-23T00:00:00,2019-07-01T23:48:00,ATAPL-69544-00001,ATAPL-71403-00004,ATOSU-70111-00007,44.368196,-124.952808,,N/A,583,,,
RR1812,,,,CE04OSPD-DP01B-04-FLNTUA103,6,1,2018-07-23T00:00:00,2019-07-01T23:48:00,ATAPL-69544-00001,ATAPL-71403-00004,ATOSU-70110-00007,44.368196,-124.952808,,N/A,583,,,
RR1812,,,,CE04OSPD-DP01B-06-DOSTAD105,6,1,2018-07-23T00:00:00,2019-07-01T23:48:00,ATAPL-69544-00001,ATAPL-71403-00004,ATAPL-58320-00009,44.368196,-124.952808,,N/A,583,,,
AT42-12,,,,CE04OSPD-DP01B-00-ENG000000,7,1,2019-07-02T01:00:00,2019-07-05T03:03:00,ATAPL-69544-00001,ATAPL-71403-00003,ATAPL-71444-00003,44.368226,-124.952856,,N/A,584,,,
AT42-12,,,,CE04OSPD-DP01B-01-CTDPFL105,7,1,2019-07-02T01:00:00,2019-07-05T03:03:00,ATAPL-69544-00001,ATAPL-71403-00003,ATAPL-67977-00005,44.368196,-124.952808,,N/A,584,,,
AT42-12,,,,CE04OSPD-DP01B-02-VEL3DA105,7,1,2019-07-02T01:00:00,2019-07-05T03:03:00,ATAPL-69544-00001,ATAPL-71403-00003,ATAPL-58346-00005,44.368196,-124.952808,,N/A,584,,,
AT42-12,,,,CE04OSPD-DP01B-03-FLCDRA103,7,1,2019-07-02T01:00:00,2019-07-05T03:03:00,ATAPL-69544-00001,ATAPL-71403-00003,ATOSU-70111-00006,44.368196,-124.952808,,N/A,584,,,
AT42-12,,,,CE04OSPD-DP01B-04-FLNTUA103,7,1,2019-07-02T01:00:00,2019-07-05T03:03:00,ATAPL-69544-00001,ATAPL-71403-00003,ATAPL-70110-00005,44.368196,-124.952808,,N/A,584,,,
AT42-12,,,,CE04OSPD-DP01B-06-DOSTAD105,7,1,2019-07-02T01:00:00,2019-07-05T03:03:00,ATAPL-69544-00001,ATAPL-71403-00003,ATAPL-58320-00015,44.368196,-124.952808,,N/A,584,,,
AT42-12,,,,CE04OSPD-DP01B-00-ENG000000,8,1,2019-07-09T02:02:06,2019-09-25T16:10:00,ATAPL-69544-00001,ATAPL-71403-00005,ATAPL-71444-00005,44.368226,-124.952856,,N/A,584,,,
AT42-12,,,,CE04OSPD-DP01B-01-CTDPFL105,8,1,2019-07-09T02:02:06,2019-09-25T16:10:00,ATAPL-69544-00001,ATAPL-71403-00005,ATAPL-67977-00002,44.368196,-124.952808,,N/A,584,,,
AT42-12,,,,CE04OSPD-DP01B-02-VEL3DA105,8,1,2019-07-09T02:02:06,2019-09-25T16:10:00,ATAPL-69544-00001,ATAPL-71403-00005,ATAPL-58346-00002,44.368196,-124.952808,,N/A,584,,,
AT42-12,,,,CE04OSPD-DP01B-03-FLCDRA103,8,1,2019-07-09T02:02:06,2019-09-25T16:10:00,ATAPL-69544-00001,ATAPL-71403-00005,ATAPL-70111-00004,44.368196,-124.952808,,N/A,584,,,
AT42-12,,,,CE04OSPD-DP01B-04-FLNTUA103,8,1,2019-07-09T02:02:06,2019-09-25T16:10:00,ATAPL-69544-00001,ATAPL-71403-00005,ATAPL-70110-00004,44.368196,-124.952808,,N/A,584,,,
AT42-12,,,,CE04OSPD-DP01B-06-DOSTAD105,8,1,2019-07-09T02:02:06,2019-09-25T16:10:00,ATAPL-69544-00001,ATAPL-71403-00005,ATAPL-58320-00016,44.368196,-124.952808,,N/A,584,,,
TN382,,,,CE04OSPD-DP01B-00-ENG000000,9,1,2020-08-12T03:00:00,2021-08-04T20:20:00,ATAPL-69544-00001,ATAPL-71403-00007,ATAPL-71444-00007,44.368226,-124.952856,,N/A,584,,,
TN382,,,,CE04OSPD-DP01B-01-CTDPFL105,9,1,2020-08-12T03:00:00,2021-08-04T20:20:00,ATAPL-69544-00001,ATAPL-71403-00007,ATAPL-67977-00005,44.368196,-124.952808,,N/A,584,,,
TN382,,,,CE04OSPD-DP01B-02-VEL3DA105,9,1,2020-08-12T03:00:00,2021-08-04T20:20:00,ATAPL-69544-00001,ATAPL-71403-00007,ATOSU-58346-00008,44.368196,-124.952808,,N/A,584,,,
TN382,,,,CE04OSPD-DP01B-03-FLCDRA103,9,1,2020-08-12T03:00:00,2021-08-04T20:20:00,ATAPL-69544-00001,ATAPL-71403-00007,ATOSU-70111-00007,44.368196,-124.952808,,N/A,584,,,
TN382,,,,CE04OSPD-DP01B-04-FLNTUA103,9,1,2020-08-12T03:00:00,2021-08-04T20:20:00,ATAPL-69544-00001,ATAPL-71403-00007,ATOSU-70110-00007,44.368196,-124.952808,,N/A,584,,,
TN382,,,,CE04OSPD-DP01B-06-DOSTAD105,9,1,2020-08-12T03:00:00,2021-08-04T20:20:00,ATAPL-69544-00001,ATAPL-71403-00007,ATOSU-58320-00008,44.368196,-124.952808,,N/A,584,,,
TN393,,,,CE04OSPD-DP01B-00-ENG000000,10,1,2021-08-23T19:35:00,2022-08-26T10:18:09,ATAPL-69544-00001,ATAPL-71403-00005,ATAPL-71444-00005,44.368226,-124.952856,,N/A,584,,,
