CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
TN313,,,,CE04OSPS-PC01B-05-ZPLSCB102,1,1,2014-08-30T09:16:00,2015-08-02T00:00:00,ATAPL-67762-10001,ATAPL-69839-00102,ATOSU-63259-00001,44.374163,-124.956480,,193,574,,,
TN313,,,,CE04OSPS-PC01B-4A-CTDPFA109,1,1,2014-08-30T09:16:00,2015-08-02T00:00:00,ATAPL-67762-10001,ATAPL-69839-00102,ATOSU-66662-00006,44.374163,-124.956480,,193,574,,,
TN313,,,,CE04OSPS-PC01B-4A-DOSTAD109,1,1,2014-08-30T09:16:00,2015-08-02T00:00:00,ATAPL-67762-10001,ATAPL-69839-00102,ATOSU-58320-00007,44.374163,-124.956480,,193,574,,,
TN313,,,,CE04OSPS-PC01B-4B-PHSENA106,1,1,2014-08-30T09:16:00,2015-08-02T00:00:00,ATAPL-67762-10001,ATAPL-69839-00102,ATOSU-58337-00007,44.374163,-124.956480,,193,574,,,
TN313,,,,CE04OSPS-PC01B-4D-PCO2WA105,1,1,2014-08-30T09:16:00,2015-08-02T00:00:00,ATAPL-67762-10001,ATAPL-69839-00102,ATOSU-58336-00006,44.374163,-124.956480,,193,574,,,
TN313,,,,CE04OSPS-SF01B-2A-CTDPFA107,1,1,2014-08-30T21:51:00,2015-08-02T00:00:00,ATAPL-67762-10001,ATAPL-68870-00141,ATOSU-66662-00007,44.374163,-124.956480,,N/A,574,,,
TN313,,,,CE04OSPS-SF01B-2A-DOFSTA107,1,1,2014-08-30T21:51:00,2015-08-02T00:00:00,ATAPL-67762-10001,ATAPL-68870-00141,ATOSU-58694-00004,44.374163,-124.956480,,N/A,574,,,
TN313,,,,CE04OSPS-SF01B-2B-PHSENA108,1,1,2014-08-30T21:51:00,2015-08-02T00:00:00,ATAPL-67762-10001,ATAPL-68870-00141,ATOSU-58337-00008,44.374163,-124.956480,,N/A,574,,,
TN313,,,,CE04OSPS-SF01B-3A-FLORTD104,1,1,2014-08-30T21:51:00,2015-08-02T00:00:00,ATAPL-67762-10001,ATAPL-68870-00141,ATOSU-58322-00008,44.374163,-124.956480,,N/A,574,,,
TN313,,,,CE04OSPS-SF01B-3B-OPTAAD105,1,1,2014-08-30T21:51:00,2015-08-02T00:00:00,ATAPL-67762-10001,ATAPL-68870-00141,ATOSU-58332-00003,44.374163,-124.956480,,N/A,574,,,
TN313,,,,CE04OSPS-SF01B-3C-PARADA102,1,1,2014-08-30T21:51:00,2015-08-02T00:00:00,ATAPL-67762-10001,ATAPL-68870-00141,ATOSU-66645-00005,44.374163,-124.956480,,N/A,574,,,
TN313,,,,CE04OSPS-SF01B-3D-SPKIRA102,1,1,2014-08-30T21:51:00,2015-08-02T00:00:00,ATAPL-67762-10001,ATAPL-68870-00141,ATOSU-58341-00005,44.374163,-124.956480,,N/A,574,,,
TN313,,,,CE04OSPS-SF01B-4A-NUTNRA102,1,1,2014-08-30T21:51:00,2015-08-02T00:00:00,ATAPL-67762-10001,ATAPL-68870-00141,ATOSU-68020-00005,44.374163,-124.956480,,N/A,574,,,
TN313,,,,CE04OSPS-SF01B-4B-VELPTD106,1,1,2014-08-30T21:51:00,2015-08-02T00:00:00,ATAPL-67762-10001,ATAPL-68870-00141,ATOSU-70114-10005,44.374163,-124.956480,,N/A,574,,,
TN313,,,,CE04OSPS-SF01B-4F-PCO2WA102,1,1,2014-08-30T21:51:00,2015-08-02T00:00:00,ATAPL-67762-10001,ATAPL-68870-00141,ATOSU-58336-00005,44.374163,-124.956480,,N/A,574,,,
TN326,,,,CE04OSPS-PC01B-05-ZPLSCB102,2,1,2015-08-03T05:41:00,2016-07-18T00:00:00,ATAPL-67762-10001,ATAPL-69839-00105,ATOSU-63259-00002,44.374163,-124.956480,,193,574,,,
TN326,,,,CE04OSPS-PC01B-4A-CTDPFA109,2,1,2015-08-03T05:41:00,2016-07-18T00:00:00,ATAPL-67762-10001,ATAPL-69839-00105,ATOSU-66662-00014,44.374163,-124.956480,,193,574,,,
TN326,,,,CE04OSPS-PC01B-4A-DOSTAD109,2,1,2015-08-03T05:41:00,2016-07-18T00:00:00,ATAPL-67762-10001,ATAPL-69839-00105,ATOSU-58320-00017,44.374163,-124.956480,,193,574,,,
TN326,,,,CE04OSPS-PC01B-4B-PHSENA106,2,1,2015-08-03T05:41:00,2016-07-18T00:00:00,ATAPL-67762-10001,ATAPL-69839-00105,ATOSU-58337-00012,44.374163,-124.956480,,193,574,,,
TN326,,,,CE04OSPS-PC01B-4D-PCO2WA105,2,1,2015-08-03T05:41:00,2016-07-18T00:00:00,ATAPL-67762-10001,ATAPL-69839-00105,ATOSU-58336-00008,44.374163,-124.956480,,193,574,,,
TN326,,,,CE04OSPS-SF01B-2A-CTDPFA107,2,1,2015-08-03T02:21:00,2016-07-18T00:00:00,ATAPL-67762-10001,ATAPL-68870-00144,ATOSU-66662-00013,44.374163,-124.956480,,N/A,574,,,
TN326,,,,CE04OSPS-SF01B-2A-DOFSTA107,2,1,2015-08-03T02:21:00,2016-07-18T00:00:00,ATAPL-67762-10001,ATAPL-68870-00144,ATOSU-58694-00007,44.374163,-124.956480,,N/A,574,,,
TN326,,,,CE04OSPS-SF01B-2B-PHSENA108,2,1,2015-08-03T02:21:00,2016-07-18T00:00:00,ATAPL-67762-10001,ATAPL-68870-00144,ATOSU-58337-00011,44.374163,-124.956480,,N/A,574,,,
TN326,,,,CE04OSPS-SF01B-3A-FLORTD104,2,1,2015-08-03T02:21:00,2016-07-18T00:00:00,ATAPL-67762-10001,ATAPL-68870-00144,ATOSU-58322-00013,44.374163,-124.956480,,N/A,574,,,
TN326,,,,CE04OSPS-SF01B-3B-OPTAAD105,2,1,2015-08-03T02:21:00,2016-07-18T00:00:00,ATAPL-67762-10001,ATAPL-68870-00144,ATOSU-58332-00007,44.374163,-124.956480,,N/A,574,,,
TN326,,,,CE04OSPS-SF01B-3C-PARADA102,2,1,2015-08-03T02:21:00,2016-07-18T00:00:00,ATAPL-67762-10001,ATAPL-68870-00144,ATAPL-66645-00004,44.374163,-124.956480,,N/A,574,,,
TN326,,,,CE04OSPS-SF01B-3D-SPKIRA102,2,1,2015-08-03T02:21:00,2016-07-18T00:00:00,ATAPL-67762-10001,ATAPL-68870-00144,ATOSU-58341-00008,44.374163,-124.956480,,N/A,574,,,
TN326,,,,CE04OSPS-SF01B-4A-NUTNRA102,2,1,2015-08-03T02:21:00,2016-07-18T00:00:00,ATAPL-67762-10001,ATAPL-68870-00144,ATOSU-68020-00008,44.374163,-124.956480,,N/A,574,,,
TN326,,,,CE04OSPS-SF01B-4B-VELPTD106,2,1,2015-08-03T02:21:00,2016-07-18T00:00:00,ATAPL-67762-10001,ATAPL-68870-00144,ATOSU-70114-10008,44.374163,-124.956480,,N/A,574,,,
TN326,,,,CE04OSPS-SF01B-4F-PCO2WA102,2,1,2015-08-03T02:21:00,2016-07-18T00:00:00,ATAPL-67762-10001,ATAPL-68870-00144,ATOSU-58336-00007,44.374163,-124.956480,,N/A,574,,,
SKQ201610S,,,,CE04OSPS-PC01B-05-ZPLSCB102,3,1,2016-07-19T08:00:00,2017-07-28T00:00:00,ATAPL-67762-10001,ATAPL-69839-00102,ATOSU-63259-00005,44.374163,-124.956480,,193,574,,,
SKQ201610S,,,,CE04OSPS-PC01B-4A-CTDPFA109,3,1,2016-07-19T08:00:00,2017-07-28T00:00:00,ATAPL-67762-10001,ATAPL-69839-00102,ATOSU-66662-00006,44.374163,-124.956480,,193,574,,,
