CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
TN313,,,,RS01SBPD-DP01A-00-ENG000000,1,1,2014-08-23T05:55:00,2014-09-22T00:00:00,ATAPL-69543-00001,ATAPL-71403-00002,ATAPL-71444-00002,44.527467,-125.380673,,N/A,2901,,,
TN313,,,,RS01SBPD-DP01A-01-CTDPFL104,1,1,2014-08-23T05:55:50,2014-09-22T00:00:00,ATAPL-69543-00001,ATAPL-71403-00002,ATAPL-67977-00001,44.527467,-125.380673,,N/A,2901,,,
TN313,,,,RS01SBPD-DP01A-02-VEL3DA103,1,1,2014-08-23T05:55:50,2014-09-22T00:00:00,ATAPL-69543-00001,ATAPL-71403-00002,ATAPL-58346-00002,44.527467,-125.380673,,N/A,2901,,,
TN313,,,,RS01SBPD-DP01A-03-FLCDRA102,1,1,2014-08-23T05:55:50,2014-09-22T00:00:00,ATAPL-69543-00001,ATAPL-71403-00002,ATAPL-70111-00001,44.527467,-125.380673,,N/A,2901,,,
TN313,,,,RS01SBPD-DP01A-04-FLNTUA102,1,1,2014-08-23T05:55:50,2014-09-22T00:00:00,ATAPL-69543-00001,ATAPL-71403-00002,ATAPL-70110-00001,44.527467,-125.380673,,N/A,2901,,,
TN313,,,,RS01SBPD-DP01A-06-DOSTAD104,1,1,2014-08-23T05:55:50,2014-09-22T00:00:00,ATAPL-69543-00001,ATAPL-71403-00002,ATAPL-58320-00002,44.527467,-125.380673,,N/A,2901,,,
TN326,,,,RS01SBPD-DP01A-00-ENG000000,2,1,2015-07-22T22:17:00,2016-08-09T00:00:00,ATAPL-69543-00001,ATAPL-71403-00002,ATAPL-71444-00002,44.527636,-125.380868,,N/A,2903,,,
TN326,,,,RS01SBPD-DP01A-01-CTDPFL104,2,1,2015-07-22T22:17:00,2016-08-09T00:00:00,ATAPL-69543-00001,ATAPL-71403-00002,ATAPL-67977-00004,44.527636,-125.380868,,N/A,2903,,,
TN326,,,,RS01SBPD-DP01A-02-VEL3DA103,2,1,2015-07-22T22:17:00,2016-08-09T00:00:00,ATAPL-69543-00001,ATAPL-71403-00002,ATAPL-58346-00006,44.527636,-125.380868,,N/A,2903,,,
TN326,,,,RS01SBPD-DP01A-03-FLCDRA102,2,1,2015-07-22T22:17:00,2016-08-09T00:00:00,ATAPL-69543-00001,ATAPL-71403-00002,ATAPL-70111-00004,44.527636,-125.380868,,N/A,2903,,,
TN326,,,,RS01SBPD-DP01A-04-FLNTUA102,2,1,2015-07-22T22:17:00,2016-08-09T00:00:00,ATAPL-69543-00001,ATAPL-71403-00002,ATAPL-70110-00004,44.527636,-125.380868,,N/A,2903,,,
TN326,,,,RS01SBPD-DP01A-05-OPTAAC102,1,1,2015-07-22T22:17:00,2016-08-09T00:00:00,ATAPL-69543-00001,ATAPL-71403-00002,ATAPL-69943-00004,44.527636,-125.380868,,N/A,2901,,,
