CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
TN299,,,,RS01SLBS-MJ01A-05-HYDLFA101,1,1,2013-08-08T06:08:55,,RS01SLBS-MJ01A-0000,ATAPL-65244-00026,ATAPL-58693-00005,44.509883,-125.405235,,2907,2907,,,
TN299,,,,RS01SLBS-MJ01A-05-OBSBBA102,1,1,2013-08-08T06:08:55,,RS01SLBS-MJ01A-0000,ATAPL-65244-00026,ATAPL-58328-00005,44.509894,-125.405262,,2908,2908,RSN equipment listed as OBSBBA101,,
TN299,,,,RS01SLBS-MJ01A-06-PRESTA101,1,1,2014-09-13T00:00:01,2018-06-26T10:00:00,RS01SLBS-MJ01A-0000,ATAPL-65244-00026,ATAPL-67639-00004,44.509772,-125.405299,,2909,2909,"Deployment date set to 2014-09-13T00:00:01 from 2013-08-08T03:19:46",,
TN299,,,,RS01SLBS-MJ01A-12-VEL3DB101,1,1,2014-09-13T00:00:01,2016-07-17T00:00:00,RS01SLBS-MJ01A-0000,ATAPL-65244-00026,ATAPL-67979-00004,44.509687,-125.405265,,2907,2907,"Deployment date set to 2014-09-13T00:00:01 from 2013-08-02T10:55:11",,
TN313,,,,RS01SLBS-LJ01A-05-HPIESA101,1,1,2014-08-27T16:37:58,2015-07-22T00:00:00,RS01SLBS-LJ01A-0000,ATAPL-65310-00003,ATAPL-58323-00002,44.522289,-125.380506,,2897,2897,,,
TN313,,,,RS01SLBS-LJ01A-09-HYDBBA102,1,1,2014-08-04T04:11:55,2015-07-05T00:00:00,RS01SLBS-LJ01A-0000,ATAPL-65310-00003,ATAPL-58324-00006,44.515212,-125.389836,,2903,2903,,,
TN313,,,,RS01SLBS-LJ01A-10-ADCPTE101,1,1,2014-08-04T04:11:55,2015-07-05T00:00:00,RS01SLBS-LJ01A-0000,ATAPL-65310-00003,ATAPL-68073-00002,44.515212,-125.389836,,2903,2903,,,
TN313,,,,RS01SLBS-LJ01A-11-OPTAAC103,1,1,2014-08-27T09:16:45,2015-07-05T00:00:00,RS01SLBS-LJ01A-0000,ATAPL-65310-00003,ATAPL-69943-00002,44.515267,-125.389809,,2903,2903,,,
TN313,,,,RS01SLBS-LJ01A-12-CTDPFB101,1,1,2014-08-27T09:16:45,2015-07-05T00:00:00,RS01SLBS-LJ01A-0000,ATAPL-65310-00003,ATAPL-67627-00002,44.515267,-125.389809,,2903,2903,,,
TN313,,,,RS01SLBS-LJ01A-12-DOSTAD101,1,1,2014-08-27T09:16:45,2015-07-05T00:00:00,RS01SLBS-LJ01A-0000,ATAPL-65310-00003,ATAPL-58320-00004,44.515267,-125.389809,,2903,2903,,,
TN326,,,,RS01SLBS-LJ01A-05-HPIESA101,2,1,2015-07-22T06:55:49,2016-08-08T00:00:00,RS01SLBS-LJ01A-0000,ATAPL-65310-00010,ATAPL-58323-00003,44.522305,-125.380407,,2900,2900,,,
