CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
TN299,,,,RS01SUM2-MJ01B-00-FLOBNC101,1,1,2013-07-17T18:27:00,2014-09-02T16:00:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,ATAPL-58334-00001,44.569965,-125.146643,,787,787,,,
TN299,,,,RS01SUM2-MJ01B-00-FLOBNM101,1,1,2013-07-17T19:00:00,2014-09-02T15:34:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,ATAPL-70113-00001,44.569920,-125.146640,,775,775,,,
TN313,,,,RS01SUM2-MJ01B-12-ADCPSK101,1,1,2014-08-29T07:24:46,2018-06-25T19:30:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,ATAPL-58419-00002,44.569833,-125.146823,,772,772,,,
TN313,,,,RS01SUM2-MJ01B-05-CAMDSB103,1,1,2014-08-31T19:17:45,2016-07-22T00:00:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,ATAPL-58317-00004,44.569991,-125.146714,,774,774,,,
TN313,,,,RS01SUM2-MJ01B-00-FLOBNC101,2,1,2014-09-08T12:00:00,2015-07-14T18:50:06,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,ATAPL-58334-00002,44.569947,-125.146790,,773,773,,,
TN313,,,,RS01SUM2-MJ01B-00-FLOBNM101,2,1,2014-09-02T14:02:00,2015-07-14T19:43:27,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,ATAPL-70113-00002,44.569941,-125.146788,,774,774,,,
TN313,,,,RS01SUM2-MJ01B-06-MASSPA101,1,1,2014-09-02T22:11:47,2016-07-22T00:00:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,ATAPL-58325-00001,44.569958,-125.146863,,774,774,position listed is location of sensor intake,,
TN313,,,,RS01SUM2-MJ01B-00-OSMOIA101,1,1,2014-09-02T12:30:00,2015-07-09T12:32:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,ATAPL-58333-00001,44.56998,-125.146778,,774,774,position listed is location of sensor intake,,
TN326,,,,RS01SUM2-MJ01B-00-FLOBNC101,3,1,2015-07-14T18:50:06,2016-07-22T00:00:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,ATAPL-58334-00004,44.569998,-125.146806,,775,775,,,
TN326,,,,RS01SUM2-MJ01B-00-FLOBNM101,3,1,2015-07-14T19:43:27,2016-07-22T00:00:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,ATAPL-70113-00004,44.570003,-125.146805,,774,774,,,
TN326,,,,RS01SUM2-MJ01B-00-OSMOIA101,2,1,2015-07-09T12:32:00,2016-07-23T15:43:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,ATAPL-58333-00003,44.570009,-125.146806,,774,774,position listed is location of sensor intake,,
SKQ201610S,,,,RS01SUM2-MJ01B-05-CAMDSB103,2,1,2016-07-19T20:14:00,2017-08-10T23:00:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,ATAPL-58317-00010,44.569999,-125.146709,,775,775,,,
SKQ201610S,,,,RS01SUM2-MJ01B-00-FLOBNC101,4,1,2016-07-23T00:00:00,2017-08-12T10:02:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,ATAPL-58334-00001,44.569970,-125.146785,,776,776,,,
SKQ201610S,,,,RS01SUM2-MJ01B-00-FLOBNM101,4,1,2016-07-23T00:00:00,2017-08-12T11:26:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,ATAPL-70113-00002,44.569940,-125.146765,,773,773,,,
SKQ201610S,,,,RS01SUM2-MJ01B-06-MASSPA101,2,1,2016-07-28T20:03:00,2017-08-10T23:00:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,ATAPL-58325-00002,44.569923,-125.146807,,776,776,position listed is location of sensor intake,,
SKQ201610S,,,,RS01SUM2-MJ01B-00-OSMOIA101,3,1,2016-07-23T17:51:00,2017-08-12T11:57:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,ATAPL-58333-00001,44.569986,-125.146773,,774,774,position listed is location of sensor intake,,
RR1714,,,,RS01SUM2-MJ01B-05-CAMDSB103,3,1,2017-08-12T01:00:00,2018-06-28T22:00:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,ATAPL-58317-00010,44.570006,-125.146715,,772,772,,,
RR1714,,,,RS01SUM2-MJ01B-00-FLOBNC101,5,1,2017-08-12T09:57:00,2018-06-27T21:10:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,ATAPL-58334-00002,44.569986,-125.146781,,771,771,,,
RR1714,,,,RS01SUM2-MJ01B-00-FLOBNM101,5,1,2017-08-12T10:30:00,2018-06-27T20:08:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,ATAPL-70113-00004,44.569985,-125.146770,,771,771,,,
RR1714,,,,RS01SUM2-MJ01B-06-MASSPA101,3,1,2017-08-11T23:00:00,2018-06-28T22:00:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,ATAPL-58325-00002,44.569922,-125.14658,,770,770,position listed is location of sensor intake,,
RR1714,,,,RS01SUM2-MJ01B-00-OSMOIA101,4,1,2017-08-12T11:05:00,2018-06-27T22:49:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,ATAPL-58333-00003,44.569969,-125.146782,,772,772,position listed is location of sensor intake,,
RR1809,,,,RS01SUM2-MJ01B-12-ADCPSK101,2,1,2018-06-26T16:30:00,2023-08-27T02:23:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00034,ATAPL-58419-00003,44.569839,-125.146776,,775,775,,,
RR1809,,,,RS01SUM2-MJ01B-05-CAMDSB103,4,1,2018-06-28T22:00:00,2019-06-23T18:22:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00034,ATAPL-58317-00010,44.570054,-125.146699,,776,776,,,
RR1809,,,,RS01SUM2-MJ01B-11-CTDPFA110,1,1,2018-06-28T20:00:00,2020-08-20T13:59:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00034,PIRSN-CTDPFA-10001,44.569816,-125.146707,,775,775,,,
RR1809,,,,RS01SUM2-MJ01B-00-FLOBNC101,6,1,2018-06-27T21:08:00,2019-06-25T05:26:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00034,ATAPL-58334-00004,44.569915,-125.146741,,776,776,,,
RR1809,,,,RS01SUM2-MJ01B-00-FLOBNM101,6,1,2018-06-27T20:46:00,2019-06-25T04:18:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00034,ATAPL-70113-00003,44.569936,-125.146753,,776,776,,,
RR1809,,,,RS01SUM2-MJ01B-06-MASSPA101,4,1,2018-06-28T22:00:00,2019-06-23T20:33:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00034,ATAPL-58325-00003,44.569959,-125.146584,,775,775,position listed is location of sensor intake,,
RR1809,,,,RS01SUM2-MJ01B-00-OSMOIA101,5,1,2018-06-27T22:12:00,2019-06-25T06:15:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00034,ATAPL-58333-00001,44.56992,-125.146752,,776,776,position listed is location of sensor intake,,
RR1809,,,,RS01SUM2-MJ01B-08-OVRSRA101,1,1,2018-06-28T19:30:00,2019-06-24T21:51:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00034,PIRSN-OVRSRA-00001,44.570004,-125.147280,,773,773,,,
RR1809,,,,RS01SUM2-MJ01B-10-QNTSRA101,1,1,2018-06-29T00:00:00,2020-08-20T01:30:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00034,PIRSN-QNTSRA-00001,44.569964,-125.146782,,776,776,,,
AT42-12,,,,RS01SUM2-MJ01B-05-CAMDSB103,5,1,2019-06-24T16:01:00,2020-08-19T23:31:45,RS01SUM2-MJ01B-0000,ATAPL-65244-00034,ATAPL-58317-00005,44.570045,-125.146697,,776,776,,,
AT42-12,,,,RS01SUM2-MJ01B-09-CAMPIA101,1,1,2019-06-26T23:12:00,2020-08-20T01:30:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00034,PIRSN-CAMPIA-00001,44.569912,-125.147096,,773,773,,,
AT42-12,,,,RS01SUM2-MJ01B-00-FLOBNC101,7,1,2019-06-25T05:11:00,2020-08-19T15:23:28,RS01SUM2-MJ01B-0000,ATAPL-65244-00034,ATAPL-58334-00001,44.569947,-125.146801,,775,775,,,
AT42-12,,,,RS01SUM2-MJ01B-00-FLOBNM101,7,1,2019-06-25T04:14:00,2020-08-22T22:40:29,RS01SUM2-MJ01B-0000,ATAPL-65244-00034,ATAPL-70113-00004,44.569940,-125.146794,,775,775,,,
AT42-12,,,,RS01SUM2-MJ01B-00-OSMOIA101,6,1,2019-06-25T05:48:00,2020-08-19T16:12:39,RS01SUM2-MJ01B-0000,ATAPL-65244-00034,ATAPL-58333-00003,44.569928,-125.146799,,775,775,position listed is location of sensor intake,,
AT42-12,,,,RS01SUM2-MJ01B-08-OVRSRA101,2,1,2019-06-26T03:29:00,2020-08-20T01:30:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00034,PIRSN-OVRSRA-00001,44.570004,-125.147280,,773,773,,,
TN382,,,,RS01SUM2-MJ01B-05-CAMDSB103,6,1,2020-08-19T23:32:45,2021-08-14T13:18:04,RS01SUM2-MJ01B-0000,ATAPL-65244-00034,ATAPL-78437-00007,44.570033,-125.146708,,776,776,,,
TN382,,,,RS01SUM2-MJ01B-11-CTDPFA110,2,1,2020-08-20T13:59:00,2021-08-14T23:00:19,RS01SUM2-MJ01B-0000,ATAPL-65244-00034,PIRSN-CTDPFA-10002,44.569811,-125.146732,,773,773,,,
TN382,,,,RS01SUM2-MJ01B-00-FLOBNC101,8,1,2020-08-19T16:39:08,2021-08-15T11:16:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00034,ATAPL-58334-00004,44.569926,-125.146794,,775,775,,,
TN382,,,,RS01SUM2-MJ01B-00-FLOBNM101,8,1,2020-08-22T22:34:21,2021-08-15T11:24:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00034,ATAPL-70113-00003,44.569935,-125.146750,,776,776,,,
TN382,,,,RS01SUM2-MJ01B-00-OSMOIA101,7,1,2020-08-19T16:01:47,2021-08-15T11:38:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00034,ATAPL-58333-00001,44.569945,-125.146788,,774,774,position listed is location of sensor intake,, 
TN382,,,,RS01SUM2-MJ01B-10-QNTSRA101,2,1,2020-08-23T23:15:09,2023-08-24T00:00:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00034,PIRSN-QNTSRA-00001,44.570001,-125.146740,,777,777,,,
TN393,,,,RS01SUM2-MJ01B-00-FLOBNC101,9,1,2021-08-15T10:35:00,2022-08-20T13:52:39,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,ATAPL-58334-00001,44.569929,-125.146747,,774,774,,,
TN393,,,,RS01SUM2-MJ01B-00-FLOBNM101,9,1,2021-08-15T10:59:00,2022-08-20T22:24:33,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,ATAPL-70113-00002,44.569941,-125.146718,,774,774,,,
TN393,,,,RS01SUM2-MJ01B-00-OSMOIA101,8,1,2021-08-15T10:10:00,2022-08-20T14:25:16,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,ATAPL-58333-00003,44.569949,-125.146764,,774,774,position listed is location of sensor intake,,
TN393,,,,RS01SUM2-MJ01B-05-CAMDSB103,7,1,2021-08-14T23:00:19,2023-08-26T20:09:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,ATAPL-78437-00011,44.569998,-125.146713,,775,775,,,
TN393,,,,RS01SUM2-MJ01B-08-OVRSRA101,3,1,2021-08-12T23:23:00,2022-09-15T21:06:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,PIRSN-OVRSRA-00001,44.569987,-125.147269,,774,774,,,
TN393,,,,RS01SUM2-MJ01B-09-CAMPIA101,2,1,2021-08-15T07:25:29,2023-08-24T00:00:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,PIRSN-CAMPIA-00001,44.569828,-125.147016,,772,772,,,
TN393,,,,RS01SUM2-MJ01B-11-CTDPFA110,3,1,2021-08-15T07:25:29,2022-08-20T02:40:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,PIRSN-CTDPFA-10001,44.569793,-125.146707,,772,772,,,
TN407,,,,RS01SUM2-MJ01B-00-FLOBNC101,10,1,2022-08-20T12:15:59,2023-08-27T04:30:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,ATAPL-58334-00004,44.569838,-125.146653,,775,775,,,
TN407,,,,RS01SUM2-MJ01B-00-FLOBNM101,10,1,2022-08-22T19:15:20,2023-08-28T04:30:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,ATAPL-70113-00003,44.569847,-125.146626,,775,775,,,
TN407,,,,RS01SUM2-MJ01B-00-OSMOIA101,9,1,2022-08-20T12:03:00,2023-08-28T06:20:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,ATAPL-58333-00001,44.569903,-125.146702,,774,774,position listed is location of sensor intake,,
TN407,,,,RS01SUM2-MJ01B-11-CTDPFA110,4,1,2022-08-21T03:29:00,2023-08-24T00:00:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,PIRSN-CTDPFA-10002,44.569826,-125.146690,,775,775,,,
TN422,,,,RS01SUM2-MJ01B-00-FLOBNC101,11,1,2023-08-27T04:23:00,2024-08-21T10:19:54,RS01SUM2-MJ01B-0000,ATAPL-65244-00028,ATAPL-58334-00001,44.569979,-125.14668,,774,774,,, 
TN422,,,,RS01SUM2-MJ01B-00-FLOBNM101,11,1,2023-08-28T03:12:00,2024-08-21T10:19:54,RS01SUM2-MJ01B-0000,ATAPL-65244-00028,ATAPL-70113-00002,44.570022,-125.146728,,775,775,,,
TN422,,,,RS01SUM2-MJ01B-00-OSMOIA101,10,1,2023-08-28T03:50:00,2024-08-21T10:19:54,RS01SUM2-MJ01B-0000,ATAPL-65244-00028,ATAPL-58333-00003,44.56994,-125.146624,,774,774,,,
TN422,,,,RS01SUM2-MJ01B-05-CAMDSB103,8,1,2023-08-27T23:09:00,2024-08-20T17:04:44,RS01SUM2-MJ01B-0000,ATAPL-65244-00028,ATAPL-78437-00007,44.570008,-125.146773,,774,774,,,
TN422,,,,RS01SUM2-MJ01B-12-ADCPSK101,3,1,2023-08-27T18:13:00,,RS01SUM2-MJ01B-0000,ATAPL-65244-00028,ATAPL-58419-00002,44.59826,-125.146702,,773,773,,,
AT50-29,,,,RS01SUM2-MJ01B-00-FLOBNC101,12,1,2024-08-21T15:06:11,,RS01SUM2-MJ01B-0000,ATAPL-65244-00028,ATAPL-58334-00002,44.569838,-125.146653,,775,775,The following parameters are preliminary and will be verified and updated after deployment: mooringID; lat; lon; deployment_depth; water_depth,,
AT50-29,,,,RS01SUM2-MJ01B-00-FLOBNM101,12,1,2024-08-21T15:40:22,,RS01SUM2-MJ01B-0000,ATAPL-65244-00028,ATAPL-70113-00003,44.569847,-125.146626,,775,775,The following parameters are preliminary and will be verified and updated after deployment: mooringID; lat; lon; deployment_depth; water_depth,,
AT50-29,,,,RS01SUM2-MJ01B-00-OSMOIA101,11,1,2024-08-21T16:12:20,,RS01SUM2-MJ01B-0000,ATAPL-65244-00028,ATAPL-58333-00001,44.569903,-125.146702,,774,774,The following parameters are preliminary and will be verified and updated after deployment: mooringID; lat; lon; deployment_depth; water_depth,,
AT50-29,,,,RS01SUM2-MJ01B-05-CAMDSB103,9,1,2024-08-21T17:20:00,,RS01SUM2-MJ01B-0000,ATAPL-65244-00028,ATAPL-78437-00012,44.569998,-125.146713,,775,775,The following parameters are preliminary and will be verified and updated after deployment: mooringID; lat; lon; deployment_depth; water_depth,,
