CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
TN313,,,,RS03AXBS-LJ03A-05-HPIESA301,1,1,2014-08-07T19:59:00,2015-06-13T00:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00007,ATAPL-58323-00001,45.823954,-129.759796,,2609,2609,,,
TN313,,,,RS03AXBS-LJ03A-09-HYDBBA302,1,1,2014-08-05T06:18:00,2015-06-13T00:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00007,ATAPL-58324-00003,45.816802,-129.754157,,2609,2609,,,
TN313,,,,RS03AXBS-LJ03A-10-ADCPTE303,1,1,2014-08-05T06:18:00,2015-06-13T00:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00007,ATAPL-68073-00003,45.816802,-129.754157,,2609,2609,,,
TN313,,,,RS03AXBS-LJ03A-11-OPTAAC303,1,1,2014-08-07T17:45:00,2015-06-13T00:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00007,ATAPL-69943-00003,45.816847,-129.754157,,2606,2606,,,
TN313,,,,RS03AXBS-LJ03A-12-CTDPFB301,1,1,2014-08-07T17:45:00,2015-06-13T00:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00007,ATAPL-67627-00003,45.816847,-129.754157,,2606,2606,,,
TN313,,,,RS03AXBS-LJ03A-12-DOSTAD301,1,1,2014-08-07T17:45:00,2015-06-13T00:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00007,ATAPL-58320-00003,45.816847,-129.754157,,2606,2606,,,
TN313,,,,RS03AXBS-MJ03A-05-HYDLFA301,1,1,2014-08-08T11:14:00,,RS03AXBS-MJ03A-0000,ATAPL-65244-00023,ATAPL-58693-00001,45.820189,-129.736708,,2608,2608,,,
TN313,,,,RS03AXBS-MJ03A-05-OBSBBA303,1,1,2014-08-08T11:14:00,,RS03AXBS-MJ03A-0000,ATAPL-65244-00023,ATAPL-58328-00001,45.820176,-129.736709,,2607,2607,RSN deployed equipment list shows OBSBBA301,,
TN313,,,,RS03AXBS-MJ03A-06-PRESTA301,1,1,2014-08-08T16:39:00,2016-07-12T00:00:00,RS03AXBS-MJ03A-0000,ATAPL-65244-00023,ATAPL-67639-00003,45.820222,-129.736393,,2610,2610,,,
TN313,,,,RS03AXBS-MJ03A-12-VEL3DB301,1,1,2014-08-08T17:11:00,2016-07-12T00:00:00,RS03AXBS-MJ03A-0000,ATAPL-65244-00023,ATAPL-67979-00005,45.820196,-129.736405,,2608,2608,,,
TN326,,,,RS03AXBS-LJ03A-05-HPIESA301,2,1,2015-07-26T02:36:00,2016-07-11T00:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00011,ATAPL-58323-00004,45.824047,-129.759953,,2609,2609,,,
TN326,,,,RS03AXBS-LJ03A-09-HYDBBA302,2,1,2015-07-13T05:24:00,2016-07-11T00:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00011,ATAPL-58324-00011,45.816869,-129.754362,,2610,2610,,,
TN326,,,,RS03AXBS-LJ03A-10-ADCPTE303,2,1,2015-07-13T05:24:00,2016-07-11T00:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00011,ATAPL-68073-00005,45.816869,-129.754362,,2610,2610,,,
TN326,,,,RS03AXBS-LJ03A-11-OPTAAC303,2,1,2015-07-13T05:43:00,2016-07-11T00:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00011,ATAPL-69943-00001,45.816879,-129.754248,,2606,2606,,,
TN326,,,,RS03AXBS-LJ03A-12-CTDPFB301,2,1,2015-07-13T05:43:00,2016-07-11T00:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00011,ATAPL-67627-00005,45.816879,-129.754248,,2606,2606,,,
