CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
TN313,,,,RS03AXPD-DP03A-00-ENG000000,1,1,2014-08-09T21:00:00,2015-07-26T14:11:08,ATAPL-69545-00001,ATAPL-71403-00003,ATAPL-71444-00003,45.829701,-129.759037,,N/A,2612,,,
TN313,,,,RS03AXPD-DP03A-01-CTDPFL304,1,1,2014-08-09T21:00:00,2015-07-26T14:11:08,ATAPL-69545-00001,ATAPL-71403-00003,ATAPL-67977-00002,45.829731,-129.759059,,N/A,2608,,,
TN313,,,,RS03AXPD-DP03A-02-VEL3DA303,1,1,2014-08-09T21:00:00,2015-07-26T14:11:08,ATAPL-69545-00001,ATAPL-71403-00003,ATAPL-58346-00003,45.829731,-129.759059,,N/A,2608,,,
TN313,,,,RS03AXPD-DP03A-03-FLCDRA302,1,1,2014-08-09T21:00:00,2015-07-26T14:11:08,ATAPL-69545-00001,ATAPL-71403-00003,ATAPL-70111-00002,45.829731,-129.759059,,N/A,2608,,,
TN313,,,,RS03AXPD-DP03A-03-FLNTUA302,1,1,2014-08-09T21:00:00,2015-07-26T14:11:08,ATAPL-69545-00001,ATAPL-71403-00003,ATAPL-70110-00002,45.829731,-129.759059,,N/A,2608,,,
TN313,,,,RS03AXPD-DP03A-06-DOSTAD304,1,1,2014-08-09T21:00:00,2015-07-26T14:11:08,ATAPL-69545-00001,ATAPL-71403-00003,ATAPL-58320-00001,45.829731,-129.759059,,N/A,2608,,,
TN326,,,,RS03AXPD-DP03A-00-ENG000000,2,1,2015-07-28T18:37:16,2015-08-05T00:42:27,ATAPL-69545-00001,ATAPL-71403-00005,ATAPL-71444-00005,45.829678,-129.759061,,N/A,2602,,,
TN326,,,,RS03AXPD-DP03A-01-CTDPFL304,2,1,2015-07-28T18:37:16,2015-08-05T00:42:27,ATAPL-69545-00001,ATAPL-71403-00005,ATAPL-67977-00005,45.829681,-129.759008,,N/A,2602,,,
TN326,,,,RS03AXPD-DP03A-02-VEL3DA303,2,1,2015-07-28T18:37:16,2015-08-05T00:42:27,ATAPL-69545-00001,ATAPL-71403-00005,ATAPL-58346-00005,45.829681,-129.759008,,N/A,2602,,,
TN326,,,,RS03AXPD-DP03A-03-FLCDRA302,2,1,2015-07-28T18:37:16,2015-08-05T00:42:27,ATAPL-69545-00001,ATAPL-71403-00005,ATAPL-70111-00005,45.829681,-129.759008,,N/A,2602,,,
TN326,,,,RS03AXPD-DP03A-03-FLNTUA302,2,1,2015-07-28T18:37:16,2015-08-05T00:42:27,ATAPL-69545-00001,ATAPL-71403-00005,ATAPL-70110-00005,45.829681,-129.759008,,N/A,2602,,,
TN326,,,,RS03AXPD-DP03A-06-DOSTAD304,2,1,2015-07-28T18:37:16,2015-08-05T00:42:27,ATAPL-69545-00001,ATAPL-71403-00005,ATAPL-58320-00009,45.829681,-129.759008,,N/A,2602,,,
RR1715,,,,RS03AXPD-DP03A-00-ENG000000,3,1,2017-08-23T09:30:00,2018-07-26T00:00:00,ATAPL-69545-00001,ATAPL-71403-00002,ATAPL-71444-00002,45.829676,-129.759316,,N/A,2612,,,
RR1715,,,,RS03AXPD-DP03A-01-CTDPFL304,3,1,2017-08-23T09:30:00,2018-07-26T00:00:00,ATAPL-69545-00001,ATAPL-71403-00002,ATAPL-67977-00005,45.829676,-129.759316,,N/A,2612,,,
RR1715,,,,RS03AXPD-DP03A-02-VEL3DA303,3,1,2017-08-23T09:30:00,2018-07-26T00:00:00,ATAPL-69545-00001,ATAPL-71403-00002,ATAPL-58346-00005,45.829676,-129.759316,,N/A,2612,,,
RR1715,,,,RS03AXPD-DP03A-03-FLCDRA302,3,1,2017-08-23T09:30:00,2018-07-26T00:00:00,ATAPL-69545-00001,ATAPL-71403-00002,ATAPL-70111-00005,45.829676,-129.759316,,N/A,2612,,,
RR1715,,,,RS03AXPD-DP03A-03-FLNTUA302,3,1,2017-08-23T09:30:00,2018-07-26T00:00:00,ATAPL-69545-00001,ATAPL-71403-00002,ATOSU-70110-00006,45.829676,-129.759316,,N/A,2612,,,
RR1715,,,,RS03AXPD-DP03A-06-DOSTAD304,3,1,2017-08-23T09:30:00,2018-07-26T00:00:00,ATAPL-69545-00001,ATAPL-71403-00002,ATOSU-58320-00018,45.829676,-129.759316,,N/A,2612,,,
RR1812,,,,RS03AXPD-DP03A-00-ENG000000,4,1,2018-07-26T00:00:00,2019-07-03T06:37:00,ATAPL-69545-00001,ATAPL-71403-00005,ATAPL-71444-00005,45.829676,-129.759316,,N/A,2612,,,
RR1812,,,,RS03AXPD-DP03A-01-CTDPFL304,4,1,2018-07-26T00:00:00,2019-07-03T06:37:00,ATAPL-69545-00001,ATAPL-71403-00005,ATAPL-67977-00004,45.829676,-129.759316,,N/A,2612,,,
RR1812,,,,RS03AXPD-DP03A-02-VEL3DA303,4,1,2018-07-26T00:00:00,2019-07-03T06:37:00,ATAPL-69545-00001,ATAPL-71403-00005,ATAPL-58346-00004,45.829676,-129.759316,,N/A,2612,,,
RR1812,,,,RS03AXPD-DP03A-03-FLCDRA302,4,1,2018-07-26T00:00:00,2019-07-03T06:37:00,ATAPL-69545-00001,ATAPL-71403-00005,ATAPL-70111-00004,45.829676,-129.759316,,N/A,2612,,,
RR1812,,,,RS03AXPD-DP03A-03-FLNTUA302,4,1,2018-07-26T00:00:00,2019-07-03T06:37:00,ATAPL-69545-00001,ATAPL-71403-00005,ATAPL-70110-00004,45.829676,-129.759316,,N/A,2612,,,
RR1812,,,,RS03AXPD-DP03A-06-DOSTAD304,4,1,2018-07-26T00:00:00,2019-07-03T06:37:00,ATAPL-69545-00001,ATAPL-71403-00005,ATAPL-58320-00010,45.829676,-129.759316,,N/A,2612,,,
AT42-12,,,,RS03AXPD-DP03A-00-ENG000000,5,1,2019-07-03T20:30:00,2020-01-17T20:05:00,ATAPL-69545-00001,ATAPL-71403-00002,ATAPL-71444-00002,45.829676,-129.759316,,N/A,2612,,,
AT42-12,,,,RS03AXPD-DP03A-01-CTDPFL304,5,1,2019-07-03T20:30:00,2020-01-17T20:05:00,ATAPL-69545-00001,ATAPL-71403-00002,ATOSU-67977-00007,45.829676,-129.759316,,N/A,2612,,,
AT42-12,,,,RS03AXPD-DP03A-02-VEL3DA303,5,1,2019-07-03T20:30:00,2020-01-17T20:05:00,ATAPL-69545-00001,ATAPL-71403-00002,ATAPL-58346-00003,45.829676,-129.759316,,N/A,2612,,,
AT42-12,,,,RS03AXPD-DP03A-03-FLCDRA302,5,1,2019-07-03T20:30:00,2020-01-17T20:05:00,ATAPL-69545-00001,ATAPL-71403-00002,ATAPL-70111-00002,45.829676,-129.759316,,N/A,2612,,,
AT42-12,,,,RS03AXPD-DP03A-03-FLNTUA302,5,1,2019-07-03T20:30:00,2020-01-17T20:05:00,ATAPL-69545-00001,ATAPL-71403-00002,ATAPL-70110-00002,45.829676,-129.759316,,N/A,2612,,,
AT42-12,,,,RS03AXPD-DP03A-06-DOSTAD304,5,1,2019-07-03T20:30:00,2020-01-17T20:05:00,ATAPL-69545-00001,ATAPL-71403-00002,ATAPL-58320-00001,45.829676,-129.759316,,N/A,2612,,,
TN382,,,,RS03AXPD-DP03A-00-ENG000000,6,1,2020-08-19T12:00:00,2021-08-27T05:00:00,ATAPL-69545-00001,ATAPL-71403-00004,ATAPL-71444-00004,45.829676,-129.759316,,N/A,2612,,,
TN382,,,,RS03AXPD-DP03A-01-CTDPFL304,6,1,2020-08-19T12:00:00,2021-08-27T05:00:00,ATAPL-69545-00001,ATAPL-71403-00004,ATAPL-67977-00004,45.829676,-129.759316,,N/A,2612,,,
TN382,,,,RS03AXPD-DP03A-02-VEL3DA303,6,1,2020-08-19T12:00:00,2021-08-27T05:00:00,ATAPL-69545-00001,ATAPL-71403-00004,ATAPL-58346-00004,45.829676,-129.759316,,N/A,2612,,,
TN382,,,,RS03AXPD-DP03A-03-FLCDRA302,6,1,2020-08-19T12:00:00,2021-08-27T05:00:00,ATAPL-69545-00001,ATAPL-71403-00004,ATAPL-70111-00003,45.829676,-129.759316,,N/A,2612,,,
TN382,,,,RS03AXPD-DP03A-03-FLNTUA302,6,1,2020-08-19T12:00:00,2021-08-27T05:00:00,ATAPL-69545-00001,ATAPL-71403-00004,ATAPL-70110-00003,45.829676,-129.759316,,N/A,2612,,,
TN382,,,,RS03AXPD-DP03A-06-DOSTAD304,6,1,2020-08-19T12:00:00,2021-08-27T05:00:00,ATAPL-69545-00001,ATAPL-71403-00004,ATAPL-58320-00010,45.829676,-129.759316,,N/A,2612,,,
TN393,,,,RS03AXPD-DP03A-00-ENG000000,7,1,2021-08-27T06:00:00,2022-08-28T11:11:38,ATAPL-69545-00001,ATAPL-71403-00006,ATAPL-71444-00006,45.829676,-129.759316,,N/A,2612,,,
TN393,,,,RS03AXPD-DP03A-01-CTDPFL304,7,1,2021-08-27T06:00:00,2022-08-28T11:11:38,ATAPL-69545-00001,ATAPL-71403-00006,ATOSU-67977-00007,45.829676,-129.759316,,N/A,2612,,,
TN393,,,,RS03AXPD-DP03A-02-VEL3DA303,7,1,2021-08-27T06:00:00,2022-08-28T11:11:38,ATAPL-69545-00001,ATAPL-71403-00006,ATAPL-58346-00006,45.829676,-129.759316,,N/A,2612,,,
TN393,,,,RS03AXPD-DP03A-03-FLCDRA302,7,1,2021-08-27T06:00:00,2022-08-28T11:11:38,ATAPL-69545-00001,ATAPL-71403-00006,ATAPL-70111-00002,45.829676,-129.759316,,N/A,2612,,,
TN393,,,,RS03AXPD-DP03A-03-FLNTUA302,7,1,2021-08-27T06:00:00,2022-08-28T11:11:38,ATAPL-69545-00001,ATAPL-71403-00006,ATOSU-70110-00006,45.829676,-129.759316,,N/A,2612,,,
TN393,,,,RS03AXPD-DP03A-06-DOSTAD304,7,1,2021-08-27T06:00:00,2022-08-28T11:11:38,ATAPL-69545-00001,ATAPL-71403-00006,ATOSU-58320-00018,45.829676,-129.759316,,N/A,2612,,,
TN407,,,,RS03AXPD-DP03A-00-ENG000000,8,1,2022-08-29T00:00:00,2023-09-13T00:00:00,ATAPL-69545-00001,ATAPL-71403-00007,ATAPL-71444-00007,45.829676,-129.759316,,N/A,2612,,,
TN407,,,,RS03AXPD-DP03A-01-CTDPFL304,8,1,2022-08-29T00:00:00,2023-09-13T00:00:00,ATAPL-69545-00001,ATAPL-71403-00007,ATAPL-67977-00005,45.829676,-129.759316,,N/A,2612,,,
