CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
TN313,,,,RS03CCAL-MJ03F-05-BOTPTA301,1,1,2014-07-25T21:05:00,,RS03CCAL-MJ03F-0000,ATAPL-65244-00031,ATAPL-58316-00003,45.954850,-130.008772,,1526,1526,,,
TN313,,,,RS03CCAL-MJ03F-06-HYDLFA305,1,1,2014-07-26T20:43:24,,RS03CCAL-MJ03F-0000,ATAPL-65244-00031,ATAPL-58693-00003,45.954680,-130.008992,,1527,1527,,,
TN313,,,,RS03CCAL-MJ03F-06-OBSBBA301,1,1,2014-07-26T20:43:24,,RS03CCAL-MJ03F-0000,ATAPL-65244-00031,ATAPL-58328-00003,45.954683,-130.008979,,1527,1527,,,
RR1810,,,,RS03CCAL-MJ03F-08-SCTAAA301,1,1,2018-07-06T07:00:00,2021-08-27T18:49:00,RS03CCAL-MJ03F-0000,ATAPL-65244-00023,PIRSN-SCTAAA-00001,45.955001,-130.008745,,1530,1530,,,
RR1810,,,,RS03CCAL-MJ03F-09-SCPRAA301,1,1,2018-07-06T07:00:00,,RS03CCAL-MJ03F-0000,ATAPL-65244-00023,PIRSN-SCPRAA-00001,45.954829,-130.009240,,1530,1530,,,
AT42-12,,,,RS03CCAL-MJ03F-07-AOABPA301,1,1,2019-07-05T18:51:00,2022-08-13T21:45:00,RS03CCAL-MJ03F-0000,ATAPL-65244-00023,PIRSN-AOABPA-00001,45.954846,-130.009253,,1532,1532,,,
TN393,,,,RS03CCAL-MJ03F-11-PADCPA301,1,1,2021-08-28T17:40:00,,RS03CCAL-MJ03F-0000,ATAPL-65244-00030,PIRSN-PADCPA-00001,45.954922,-130.008879,,1528,1528,,,
TN393,,,,RS03CCAL-MJ03F-12-CTDPFB305,1,1,2021-08-28T17:40:00,2022-08-13T21:45:00,RS03CCAL-MJ03F-0000,ATAPL-65244-00030,ATCWK-67627-00011,45.954851,-130.008838,,1527,1527,,,
TN407,,,,RS03CCAL-MJ03F-12-CTDPFB305,2,1,2022-08-14T15:54:00,2022-08-30T01:41:00,RS03CCAL-MJ03F-0000,ATAPL-65244-00030,ATCWK-67627-00009,45.954823,-130.008905,,1527,1527,,,
TN407,,,,RS03CCAL-MJ03F-12-CTDPFB305,3,1,2022-08-31T09:17:00,2023-09-13T05:54:00,RS03CCAL-MJ03F-0000,ATAPL-65244-00030,ATAPL-67627-00001,45.954823,-130.008905,,1527,1527,,,
TN407,,,,RS03CCAL-MJ03F-08-FETCHA301,1,1,2022-08-30T14:03:00,2024-08-12T02:39:00,RS03CCAL-MJ03F-0000,ATAPL-65244-00030,PIRSN-FETCHA-00001,45.954785,-130.009127,,1531,1531,,,
TN422,,,,RS03CCAL-MJ03F-12-CTDPFB305,4,1,2023-09-13T20:27:00,2024-08-31T23:01:00,RS03CCAL-MJ03F-0000,ATAPL-65244-00030,ATCWK-67627-00011,45.954817,-130.008891,,1525,1525,,,
AT50-29,,,,RS03CCAL-MJ03F-07-AOABPA301,2,1,2024-09-01T18:44:00,,RS03CCAL-MJ03F-0000,ATAPL-65244-00030,PIRSN-AOABPA-10001,45.954846,-130.009253,,1532,1532,The following parameters are preliminary and will be verified and updated after deployment: mooringID; lat; lon; deployment_depth; water_depth,,
AT50-29,,,,RS03CCAL-MJ03F-08-FETCHA301,2,1,2024-08-13T20:37:00,2024-09-02T03:15:00,RS03CCAL-MJ03F-0000,ATAPL-65244-00030,PIRSN-FETCHA-00002,45.954785,-130.009127,,1531,1531,The following parameters are preliminary and will be verified and updated after deployment: mooringID; lat; lon; deployment_depth; water_depth,,
AT50-29,,,,RS03CCAL-MJ03F-12-CTDPFB305,5,1,2024-09-01T18:44:00,,RS03CCAL-MJ03F-0000,ATAPL-65244-00030,ATCWK-67627-00013,45.954823,-130.008905,,1527,1527,The following parameters are preliminary and will be verified and updated after deployment: mooringID; lat; lon; deployment_depth; water_depth,,

