CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
TN299,,,,RS03ECAL-MJ03E-05-OBSSPA303,1,1,2013-07-27T04:37:19,,RS03ECAL-MJ03E-0000,ATAPL-65244-00030,ATAPL-58331-00005,45.949577,-129.979700,,1512,1512,,,
TN299,,,,RS03ECAL-MJ03E-06-BOTPTA302,1,1,2014-09-03T21:00:01,,RS03ECAL-MJ03E-0000,ATAPL-65244-00030,ATAPL-58316-00004,45.939888,-129.974113,,1519,1519,Sensor deployed to seafloor in 2013 with data collection starting in 2014; position recorded in 2013,,
TN299,,,,RS03ECAL-MJ03E-08-OBSSPA304,1,1,2013-07-26T23:57:57,,RS03ECAL-MJ03E-0000,ATAPL-65244-00030,ATAPL-58331-00006,45.936070,-129.978545,,1516,1516,,,
TN313,,,,RS03ECAL-MJ03E-09-HYDLFA304,1,1,2014-07-23T22:50:02,,RS03ECAL-MJ03E-0000,ATAPL-65244-00030,ATAPL-58693-00002,45.939669,-129.973789,,1518,1518,,,
TN313,,,,RS03ECAL-MJ03E-09-OBSBBA302,1,1,2014-07-23T22:50:02,,RS03ECAL-MJ03E-0000,ATAPL-65244-00030,ATAPL-58328-00002,45.939671,-129.973776,,1519,1519,,,
TN382,,,,RS03ECAL-MJ03E-12-CTDPFB306,1,1,2020-08-17T02:40:00,2021-08-26T20:59:00,RS03ECAL-MJ03E-0000,ATAPL-65244-00031,ATCWK-67627-00008,45.939878,-129.974170,,1522,1522,,,
TN393,,,,RS03ECAL-MJ03E-12-CTDPFB306,2,1,2021-08-28T00:00:00,2022-08-14T22:52:00,RS03ECAL-MJ03E-0000,ATAPL-65244-00031,ATCWK-67627-00010,45.939833,-129.974129,,1519,1519,,,
TN407,,,,RS03ECAL-MJ03E-12-CTDPFB306,3,1,2022-08-16T00:00:00,2023-09-16T19:30:00,RS03ECAL-MJ03E-0000,ATAPL-65244-00031,ATCWK-67627-00008,45.939836,-129.974092,,1518,1518,,,
TN422,,,,RS03ECAL-MJ03E-12-CTDPFB306,4,1,2023-09-17T15:48:00,2024-09-02T07:35:00,RS03ECAL-MJ03E-0000,ATAPL-65244-00031,ATCWK-67627-00010,45.939851,-129.974095,,1517,1517,,,
AT50-29,,,,RS03ECAL-MJ03E-12-CTDPFB306,5,1,2024-09-02T12:07:00,,RS03ECAL-MJ03E-0000,ATAPL-65244-00031,ATCWK-67627-00008,45.939844,-129.974116,,1519,1519,,,
