CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
TN313,,,,RS03INT1-MJ03C-05-CAMDSB303,1,1,2014-07-27T23:15:00,2015-07-10T22:26:38,RS03INT1-MJ03C-0000,ATAPL-65244-00028,ATAPL-58317-00002,45.926168,-129.979014,,1521,1521,,,
TN313,,,,RS03INT1-MJ03C-06-MASSPA301,1,1,2014-07-27T20:23:00,2015-07-11T17:18:41,RS03INT1-MJ03C-0000,ATAPL-65244-00028,ATAPL-58325-00003,45.926163,-129.978982,,1520,1520,position listed is location of sensor intake,,
TN313,,,,RS03INT1-MJ03C-07-PPSDNA301,1,1,2014-07-27T21:15:00,2015-07-11T18:03:47,RS03INT1-MJ03C-0000,ATAPL-65244-00028,ATAPL-58338-00003,45.926163,-129.978982,,1520,1520,position listed is location of sensor intake,,
TN313,,,,RS03INT1-MJ03C-07-RASFLA301,1,1,2014-07-27T21:15:00,2015-07-11T18:03:47,RS03INT1-MJ03C-0000,ATAPL-65244-00028,ATAPL-58340-00003,45.926163,-129.978982,,1520,1520,position listed is location of sensor intake,,
TN313,,,,RS03INT1-MJ03C-07-D1000A301,1,1,2014-07-27T21:15:00,2015-07-11T18:03:47,RS03INT1-MJ03C-0000,ATAPL-65244-00028,ATAPL-58340-00003,45.926163,-129.978982,,1520,1520,position listed is location of sensor intake,,
TN313,,,,RS03INT1-MJ03C-09-THSPHA301,1,1,2014-09-27T03:44:00,2015-07-11T18:00:00,RS03INT1-MJ03C-0000,ATAPL-65244-00028,ATAPL-58342-00002,45.926386,-129.979064,,1519,1519,position listed is location of sensor probe,,
TN313,,,,RS03INT1-MJ03C-10-TRHPHA301,1,1,2014-09-27T06:05:00,2015-07-10T00:00:00,RS03INT1-MJ03C-0000,ATAPL-65244-00028,ATAPL-67653-00002,45.926370,-129.979178,,1515,1515,position listed is location of sensor probe,,
TN326,,,,RS03INT1-MJ03C-05-CAMDSB303,2,1,2015-07-10T22:26:38,2016-07-26T00:00:00,RS03INT1-MJ03C-0000,ATAPL-65244-00028,ATAPL-58317-00005,45.926162,-129.979011,,1518,1518,,,
TN326,,,,RS03INT1-MJ03C-06-MASSPA301,2,1,2015-07-11T17:18:41,2016-07-27T00:00:00,RS03INT1-MJ03C-0000,ATAPL-65244-00028,ATAPL-58325-00004,45.926169,-129.978984,,1520,1520,position listed is location of sensor intake,,
TN326,,,,RS03INT1-MJ03C-07-PPSDNA301,2,1,2015-07-11T18:03:47,2016-07-24T00:00:00,RS03INT1-MJ03C-0000,ATAPL-65244-00028,ATAPL-58338-00003,45.926169,-129.978984,,1520,1520,position listed is location of sensor intake,,
TN326,,,,RS03INT1-MJ03C-07-RASFLA301,2,1,2015-07-11T18:03:47,2016-07-24T00:00:00,RS03INT1-MJ03C-0000,ATAPL-65244-00028,ATAPL-58340-00003,45.926169,-129.978984,,1520,1520,position listed is location of sensor intake,,
